city,year,num
서울,2017,1292
서울,2018,1260
서울,2019,1590
서울,2020,1812
서울,2021,2475
경기,2017,2250
경기,2018,2152
경기,2019,2296
경기,2020,2308
경기,2021,3267
인천,2017,493
인천,2018,548
인천,2019,551
인천,2020,538
인천,2021,798
강원,2017,257
강원,2018,343
강원,2019,295
강원,2020,452
강원,2021,731
충북,2017,257
충북,2018,312
충북,2019,346
충북,2020,335
충북,2021,616
대전,2018,310
대전,2019,399
대전,2020,314
대전,2021,484
세종,2018,33
세종,2019,28
세종,2020,68
세종,2021,57
충남,2018,293
충남,2019,346
충남,2020,433
충남,2021,1094
전북,2017,335
전북,2018,270
전북,2019,317
전북,2020,382
전북,2021,661
광주,2018,295
광주,2019,346
광주,2020,233
광주,2021,377
전남,2018,368
전남,2019,246
전남,2020,383
전남,2021,363
대구,2018,351
대구,2019,575
대구,2020,357
대구,2021,646
경북,2018,444
경북,2019,380
경북,2020,378
경북,2021,373
부산,2018,480
부산,2019,734
부산,2020,558
부산,2021,1010
경남,2018,404
경남,2019,503
경남,2020,734
경남,2021,824
울산,2018,209
울산,2019,225
울산,2020,152
울산,2021,392
제주,2017,144
제주,2018,122
제주,2019,254
제주,2020,122
제주,2021,232
